label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,,,
NGC7831,IC1530,ANDROMEDA,12.8,autumn,1.5,1.825,32.61666667,Galaxy,eF;vS;mE;vF*v nr ,,,
NGC5,UGC62,ANDROMEDA,13.3,autumn,1.2,1.95,35.36666667,Galaxy,vF;vS;N=*13;14 ,compact ,,
NGC7836,UGC65,ANDROMEDA,13.7,autumn,0.9,2,33.06666667,Galaxy,eF;vS;R;bet 2 st,,,
NGC11,UGC73,ANDROMEDA,13.7,autumn,1.5,2.175,37.45,Galaxy,vF;vS;vlE;2 vf st inv,,,
NGC13,UGC77,ANDROMEDA,13.2,autumn,2.3,2.2,33.43333333,Galaxy,vF;vS;S st + neb,,,
NGC6,NGC20,ANDROMEDA,13,autumn,,2.375,33.31666667,Galaxy,eF;vS;cE = 7831?,,,
NGC20,NGC6,ANDROMEDA,13,autumn,1.7,2.375,33.31666667,Galaxy,F;*10 att ,,,
NGC27,UGC96,ANDROMEDA,13.4,autumn,1.2,2.625,29,Galaxy,eF;vS;E;Bnr ,,,
NGC19,UGC98,ANDROMEDA,14.1,autumn,1.1,2.675,32.98333333,Galaxy,eeF;lE;3 vF st around,,,
NGC21,NGC29,ANDROMEDA,12.7,autumn,1.5,2.7,33.35,Galaxy,eF;S;lE ,,,
NGC29,NGC21,ANDROMEDA,12.7,autumn,1.5,2.7,33.35,Galaxy,pB;pL;E 0 degrees ,,,
NGC39,UGC114,ANDROMEDA,13.5,autumn,1.1,3.075,31.06666667,Galaxy,vF;pS;R ,,,
NGC43,UGC120,ANDROMEDA,12.6,autumn,1.6,3.25,30.91666667,Galaxy,eF;* 12 np 45'',,,
NGC44,,ANDROMEDA,99.9,autumn,,3.3,31.28333333,2 Star,eF;vS,,,
NGC48,UGC133,ANDROMEDA,13.6,autumn,1.6,3.5,48.23333333,Galaxy,eef;pL;R;v diffic ,,,
NGC49,UGC136,ANDROMEDA,13.7,autumn,1.1,3.6,48.25,Galaxy,eeF;S;R;2nd of 3,,,
NGC51,UGC138,ANDROMEDA,13.1,autumn,1.7,3.65,48.25,Galaxy,pF;pS;R;bM,,,
NGC67,VV166,ANDROMEDA,14.2,autumn,0.3,4.55,30.06666667,Galaxy,eF;vS;R ,,,
NGC67A,ZwG499.104,ANDROMEDA,15.7,autumn,0.4,4.55,30.05,Galaxy,,,,
NGC68,UGC170,ANDROMEDA,12.9,autumn,1.2,4.575,30.06666667,Galaxy,eF;L;3 or 4 st+neb ,,,
NGC69,MCG5-1-66,ANDROMEDA,14.8,autumn,0.5,4.575,30.03333333,Galaxy,eF;vS;R ,,,
NGC70,UGC174;IC1539,ANDROMEDA,13.5,autumn,1.6,4.6,30.08333333,Galaxy,eF;vS;R;bet 2 F st ,,,
NGC71,UGC173;VV166,ANDROMEDA,13.2,autumn,1.5,4.6,30.06666667,Galaxy,eF;vS;R ,,,
NGC72,UGC176;VV166,ANDROMEDA,13.5,autumn,1.1,4.625,30.03333333,Galaxy,eF;vS;R ,,,
NGC72A,MCG5-1-70,ANDROMEDA,14.7,autumn,0.3,4.65,30.03333333,Galaxy,,,,
NGC74,MCG5-1-71,ANDROMEDA,16,autumn,0.8,4.7,30.06666667,Galaxy,eF;S;E;last of 6,,,
NGC76,UGC185,ANDROMEDA,13,autumn,1,4.9,29.93333333,Galaxy,vF;S;bM ,,,
NGC79,MCG4-2-3,ANDROMEDA,15,autumn,0.5,5.25,22.56666667,Galaxy,vF;S;vlbM ,,,
NGC80,UGC203,ANDROMEDA,12.1,autumn,2.2,5.3,22.35,Galaxy,F;S;R;psbM,,,
NGC81,NPM1G+22016,ANDROMEDA,16.4,autumn,0.2,5.3,22.38333333,Galaxy,eeF;sp NGC 83 ,,,
NGC82,,ANDROMEDA,14,autumn,,5.325,22.46666667,1 Star,eF;stellar,,,
NGC83,UGC206,ANDROMEDA,12.5,autumn,1.3,5.35,22.43333333,Galaxy,E;biN;3 B st nr,,,
NGC84,,ANDROMEDA,17,autumn,,5.35,22.61666667,1 Star,eF;st & neb,,,
NGC85A,NGC85,ANDROMEDA,15.5,autumn,0.5,5.35,22.51666667,Galaxy,eeF;cL;R ,,,
NGC85B,IC1546,ANDROMEDA,15.5,autumn,0.9,5.375,22.5,Galaxy,,,,
NGC86,MCG4-2-9,ANDROMEDA,15,autumn,0.7,5.375,22.55,Galaxy,eF;vS;lbM ,,,
NGC90,UGC208,ANDROMEDA,14.5,autumn,1.9,5.475,22.4,Galaxy,vF;lE,,,
NGC91,,ANDROMEDA,13.7,autumn,,5.475,22.36666667,1 Star,vF;vS;* 13 sp ,,,
NGC93,UGC209,ANDROMEDA,13.3,autumn,1.4,5.525,22.41666667,Galaxy,vF;vS,,,
NGC94,ZwG479.17,ANDROMEDA,15.5,autumn,0.4,5.55,22.48333333,Galaxy,eF;vS,,,
NGC96,MCG4-2-14,ANDROMEDA,17,autumn,0.7,5.575,22.55,Galaxy,vF;S;vlbM ,,,
NGC97,UGC216,ANDROMEDA,12.3,autumn,1.5,5.625,29.75,Galaxy,F;vS;R;gbM,,,
NGC108,UGC246,ANDROMEDA,12.1,autumn,2,6.5,29.21666667,Galaxy,pF;pL;R;pslbM ,,,
NGC109,UGC251,ANDROMEDA,13.7,autumn,1.1,6.55,21.8,Galaxy,vF;S;3 st nr ,,,
NGC112,UGC255,ANDROMEDA,13.5,autumn,1,6.7,31.7,Galaxy,eF;vS;R ,,,
NGC140,UGC311,ANDROMEDA,13.2,autumn,1.5,7.825,30.78333333,Galaxy,vF;S;R;gbM,,,
NGC149,UGC332,ANDROMEDA,13.7,autumn,1.2,8.45,30.71666667,Galaxy,vF;vS;R;gbM*14;*12 sp,,,
ANDIII,PGC2121,ANDROMEDA,15,autumn,2,8.85,36.51666667,Galaxy,,,,
NGC160,UGC356,ANDROMEDA,12.6,autumn,2.9,9.025,23.95,Galaxy,vF;vS;stell;*8;17 degrees;4' ,,,
NGC162,,ANDROMEDA,99.9,autumn,,9.05,23.96666667,1 Star,eF;stellar;NGC 160 sp,,,
NGC169,UGC365;Arp282,ANDROMEDA,13.2,autumn,1.8,9.225,23.98333333,Galaxy,F;pL;D or biN;*6 nf 4' ,,,
NGC181,MCG5-2-32,ANDROMEDA,15.5,autumn,0.7,9.6,29.46666667,Galaxy,eF;eS;irr;vFatt ,,,
NGC183,UGC387,ANDROMEDA,12.7,autumn,2.1,9.625,29.51666667,Galaxy,pF;vS;R;gbM,,,
NGC184,ZwG500.59,ANDROMEDA,14.6,autumn,0.7,9.65,29.45,Galaxy,eF;eS,,,
NGC205,M110,ANDROMEDA,8.1,autumn,19.5,10.1,41.68333333,Galaxy,vB;vL;mE 165 degrees;vgvmbM , HM,,
NGC206,,ANDROMEDA,12.8,autumn,1.8,10.125,40.73333333,Gal. Cl. Nebula,vF;vL;mE 0 degrees ,,,
NGC214,UGC438,ANDROMEDA,12.3,autumn,1.9,10.375,25.5,Galaxy,pF;pS;gvlbM;R ,,,
NGC218,UGC440,ANDROMEDA,14,autumn,1.1,10.425,36.36666667,Galaxy,eF;vS;R;gbM,,,
NGC221,M32,ANDROMEDA,8.1,autumn,8.5,10.675,40.86666667,Galaxy,vvB;L;R;psmbMN , M,,
NGC224,M31,ANDROMEDA,3.4,autumn,189,10.675,41.26666667,Galaxy,!!!eeB;eL;vmE , M,,
NGC226,UGC459,ANDROMEDA,13.3,autumn,0.9,10.725,32.58333333,Galaxy,eF;S;R;* 13 s 20'' ,,,
NGC228,UGC458,ANDROMEDA,13.7,autumn,1.2,10.725,23.5,Galaxy,eF;S;R;fainter of 2 ,,,
NGC229,MCG4-2-49,ANDROMEDA,14.5,autumn,1,10.775,23.51666667,Galaxy,vF;S;R;smaller of 2 ,,,
NGC233,UGC464,ANDROMEDA,12.4,autumn,1.7,10.9,30.58333333,Galaxy,F;vS;R;lbM,,,
ANDI,PGC2666,ANDROMEDA,13.2,autumn,4,11.425,38.05,Galaxy,,,,
NGC243,MCG5-2-43,ANDROMEDA,13.6,autumn,0.9,11.5,29.96666667,Galaxy,F;vS;R;gbM;* 10 p ,,,
NGC252,UGC491,ANDROMEDA,12.4,autumn,1.4,12,27.61666667,Galaxy,pB;S;R;pmbM;r;** p ,,,
NGC258,MCG4-3-5,ANDROMEDA,15,autumn,0.5,12.05,27.65,Galaxy,eF;S;vfclose,,,
NGC260,UGC497,ANDROMEDA,13.5,autumn,0.8,12.15,27.68333333,Galaxy,eF;pS;lE ,,,
NGC262,UGC499;Mrk348,ANDROMEDA,13.1,autumn,1.4,12.2,31.95,Galaxy,eF;vS;R;v diffic,,,
NGC272,OCL312,ANDROMEDA,8.5,autumn,,12.85,35.81666667,Open Cluster8,Cl;L;lC ,,,
NGC280,UGC534,ANDROMEDA,13.2,autumn,1.7,13.125,24.35,Galaxy,eF;S;R;*15 f 30'' ,,,
NGC304,UGC573,ANDROMEDA,13,autumn,1.1,14.025,24.13333333,Galaxy,pF;S;R;svlbM ,,,
